keyword,cosyne,cns,category,gap_cns_minus_cosyne,log2_ratio
oscillation,4.992853405144314,14.293216346669427,Core Concepts,9.300362941525112,1.5080563805231613
inhibition,16.868897132097306,25.923728089733334,Core Concepts,9.054830957636028,0.618417574742973
plasticity,13.836519025158353,20.06216094114628,Core Concepts,6.225641915987929,0.5343830996223567
dendritic,4.708347001940517,9.854096533897277,Emerging Topics,5.14574953195676,1.0575648923960725
spiking,5.299696747872946,9.25131211529352,Sensory & Brain,3.9516153674205734,0.7979771349074885
development,3.551644812544314,5.660385825051426,Emerging Topics,2.108741012507112,0.6649323129071079
fMRI,2.017972324174561,3.4703637971362333,Experimental Tech,1.4523914729616725,0.7675076477072136
evolution,1.8069514644163756,3.2210545729732294,Emerging Topics,1.4141031085568538,0.8168197212701097
information theory,2.2022834324067544,3.4106426913915815,Core Concepts,1.208359258984827,0.6196516012484977
connectomics,1.2671643720397592,2.467685809512123,Experimental Tech,1.2005214374723638,0.9346628613827226
noise,3.9172205241167783,4.66215874011292,Core Concepts,0.7449382159961417,0.24825954639374143
LLM,0.12874561815089547,0.1289301455917557,AI/ML Methods,0.0001845274408602271,0.001488593158619972
foundation model,0.012511218202283639,0.007687426176685495,AI/ML Methods,-0.004823792025598144,-0.11585822112975142
neuromodulation,5.017228174871122,5.004801138474683,Emerging Topics,-0.012427036396439384,-0.003542458184013052
transformer,0.18536018592624326,0.08718623389227298,AI/ML Methods,-0.09817395203397028,-0.7787345714751015
sparse coding,1.3935324823537127,1.258771676706999,Core Concepts,-0.13476080564671378,-0.14139013926405522
self-supervised,0.2640159796777342,0.05596747209540822,AI/ML Methods,-0.208048507582326,-1.5672164956870127
working memory,2.6401681591122936,2.406083033674219,Core Concepts,-0.23408512543807447,-0.13133702146035348
backpropagation,1.2271041289601343,0.9510568431083023,AI/ML Methods,-0.276047285851832,-0.3513522630942159
compositionality,0.3711323982250278,0.07252255371351507,Core Concepts,-0.29860984451151273,-1.781226525879653
hippocampus,6.91762854836465,6.612786988315791,Sensory & Brain,-0.30484156004885943,-0.06454194352416757
interpretability,0.7918592547072983,0.4239067536069191,Emerging Topics,-0.36795250110037925,-0.8289758372558573
Neuropixels,0.6726496214811433,0.1916267739749057,Experimental Tech,-0.4810228475062376,-1.58051599786315
feedforward,3.2832489757946135,2.5896370256705903,Core Concepts,-0.6936119501240232,-0.33658952363671946
generative model,1.395438763996354,0.6940442182966725,AI/ML Methods,-0.7013945456996814,-0.9580472224708335
circuit,6.28646323664801,5.564263081456475,Core Concepts,-0.7222001551915351,-0.1745811402817653
deep learning,1.456920324431426,0.6360521901173408,AI/ML Methods,-0.8208681343140851,-1.1352129032037628
predictive coding,2.0147355623790104,1.17282777901462,Core Concepts,-0.8419077833643904,-0.7557357912190124
Drosophila,2.3462666975243014,1.3500139457619742,Model Systems,-0.9962527517623272,-0.7753472866739828
embodiment,1.8358681861344883,0.8201379091912717,Emerging Topics,-1.0157302769432166,-1.1159128628716548
hierarchy,3.713971499307847,2.64928308384999,Core Concepts,-1.0646884154578569,-0.47967941852894236
normalization,2.7144418611420553,1.5671862757584538,Core Concepts,-1.1472555853836015,-0.7735023653999838
encoding/decoding,2.4305258282602544,1.123839703244539,Core Concepts,-1.3066861250157153,-1.0794105683478274
latent,1.7064181791085646,0.35553949725761447,Core Concepts,-1.3508786818509502,-2.114722034945696
recurrence,5.559868937725466,4.2059130787416,Core Concepts,-1.3539558589838663,-0.39849837977630076
adaptation,7.405072801348647,6.003438774125999,Core Concepts,-1.4016340272226477,-0.30046751463868215
reinforcement learning,2.9917621053575765,1.4213723193093966,AI/ML Methods,-1.57038978604818,-1.0477449695047794
auditory,2.9784050297188416,1.32175040169922,Sensory & Brain,-1.6566546280196215,-1.1425401711396337
RNN,3.854199646347712,1.9172441193330212,AI/ML Methods,-1.936955527014691,-0.9888508331883239
optogenetics,3.186417893051187,1.2033557490838378,Experimental Tech,-1.983062143967349,-1.368601940180288
manifold,4.186190976467602,2.159293216849061,Core Concepts,-2.026897759618541,-0.9391827250171675
naturalistic,2.983658699514096,0.9301939953430395,Emerging Topics,-2.0534647041710565,-1.6299195709661807
sequence,9.989766199855518,7.806413686437758,Emerging Topics,-2.18335251341776,-0.3537828698964103
dimensionality,4.357975753292208,2.0224741126338164,Core Concepts,-2.3355016406583915,-1.0887622071125411
navigation,6.2084434122547245,3.694793385224418,Core Concepts,-2.5136500270303066,-0.7409177556995928
prefrontal,5.544750197626363,2.7418881122058356,Sensory & Brain,-2.8028620854205273,-1.0028325919220389
calcium imaging,3.6426131914179876,0.8053280310635359,Experimental Tech,-2.8372851603544516,-2.1100924189675134
Bayesian,5.576858153599414,2.2572781697782425,Core Concepts,-3.3195799838211713,-1.2861376467047612
population,6.6800964396274,3.0358086672835136,Core Concepts,-3.6442877723438865,-1.124978566526439
visual,7.983805692355205,4.277464477032041,Sensory & Brain,-3.7063412153231647,-0.8925615914673152
decision,7.217629699612996,2.4101765292198083,Core Concepts,-4.807453170393187,-1.5627230738001068
mouse,10.217062892566627,4.584822859721044,Model Systems,-5.6322400328455835,-1.147437421639576
primate,10.42263939158479,3.6224949975903358,Model Systems,-6.800144393994454,-1.5117926559474901
cortex,42.85133679889661,34.24482940821732,Sensory & Brain,-8.60650739067929,-0.3230315232453239
behavior,40.99123527163332,19.587512232336618,Model Systems,-21.403723039296704,-1.063461980090337
